name*,version*,license*,vendor/community,end-of-support,dependencies,language
org.eclipse.datatools.enablement.mysql,1.0.4,EPL 1.0,,,,java
org.eclipse.datatools.enablement.oda.ws,1.2.4,EPL 1.0,,,,java
org.eclipse.datatools.enablement.oda.xml,1.2.4,EPL 1.0,,,,java
org.eclipse.datatools.enablement.oracle.dbdefinition,1.0.103,EPL 1.0,,,,java
org.eclipse.datatools.enablement.oracle,1.0.0,EPL 1.0,,,,java
org.eclipse.datatools.enablement.postgresql.dbdefinition,1.0.2,EPL 1.0,,,,java
org.eclipse.datatools.enablement.postgresql,1.1.1,EPL 1.0,,,,java
org.eclipse.datatools.modelbase.dbdefinition,1.0.2,EPL 1.0,,,,java
org.eclipse.datatools.modelbase.derby,1.0.0,EPL 1.0,,,,java
org.eclipse.datatools.modelbase.sql.query,1.1.4,EPL 1.0,,,,java
org.eclipse.datatools.modelbase.sql,1.0.6,EPL 1.0,,,,java
org.eclipse.emf.common,2.8.0,EPL 1.0,,,,java
org.eclipse.emf.ecore.change,2.8.0,EPL 1.0,,,,java
org.eclipse.emf.ecore.xmi,2.8.1,EPL 1.0,,,,java
org.eclipse.emf.ecore,2.8.3,EPL 1.0,,,,java
org.eclipse.emf,2.6.0,EPL 1.0,,,,java
org.eclipse.equinox.app,1.3.100,EPL 1.0,,,,java
org.eclipse.equinox.common,3.6.100,EPL 1.0,,,,java
org.eclipse.equinox.preferences,3.5.1,EPL 1.0,,,,java
org.eclipse.equinox.registry,3.5.200,EPL 1.0,,,,java
org.eclipse.osgi.services,3.3.100,EPL 1.0,,,,java
org.eclipse.osgi,3.8.2,EPL 1.0,,,,java
org.eclipse.update.configurator,3.3.200,EPL 1.0,,,,java
org.w3c.css.sac,1.3.0,EPL 1.0,,,,java
org.w3c.dom.smil,1.0.0,EPL 1.0,,,,java
org.w3c.dom.svg,1.1.0,EPL 1.0,,,,java
poi,3.7,Apache 2.0,,,,java
postgresql,9.4-1201.jdbc4,POSTGRESQL,,,,java

remincl,1.0.2,???,,,,java

saaj,1.2,CDDL,,,,java

shibboleth-shibfilter,1.0.0,???,,,,java

spring-aop,3.1.1.RELEASE,Apache 2.0,,,,java
spring-asm,3.1.1.RELEASE,Apache 2.0,,,,java
spring-beans,3.1.1.RELEASE,Apache 2.0,,,,java
spring-context,3.1.1.RELEASE,Apache 2.0,,,,java
spring-core,3.1.1.RELEASE,Apache 2.0,,,,java
spring-data-commons-core,1.4.0.RELEASE,Apache 2.0,,,,java
spring-data-jpa,1.2.0.RELEASE,Apache 2.0,,,,java
spring-expression,3.1.1.RELEASE,Apache 2.0,,,,java
spring-jdbc,3.1.1.RELEASE,Apache 2.0,,,,java
spring-orm,3.1.1.RELEASE,Apache 2.0,,,,java
spring-test,3.1.1.RELEASE,Apache 2.0,,,,java
spring-tx,3.1.1.RELEASE,Apache 2.0,,,,java
spring-web,3.1.1.RELEASE,Apache 2.0,,,,java
spring-webmvc,3.1.1.RELEASE,Apache 2.0,,,,java

ssobart-audit-client,1.0.0,???,,,,java
ssobart-client,2.1.1,???,,,,java
ssobart-client-pepauth,1.1.0,???,,,,java

struts2-arianna-plugin,0.5.1,Apache 2.0,,,,java
struts2-core,2.3.32,Apache 2.0,,,,java
struts2-spring-plugin,2.3.32,Apache 2.0,,,,java
Tidy,1.1,EPL 1.0,,,,java

util-beanlocatorfactory,1.0.1,???,,,,java
util-perf,1.0.1,???,,,,java
util-struts2-csitemplate,1.0.1,???,,,,java
util-struts2-csitemplate-sisp,1.0.1,???,,,,java

validation-api,1.0.0.GA-redhat-1,Apache 2.0,,,,java
viewservlets,4.2.2,EPL 1.0,,,,java
wsdl4j,1.5.1,CPL 1.0,,,,java
xercesImpl,2.9.0,Apache 2.0,,,,java
xml-apis,1.3.04,Apache 2.0,,,,java
xmlpull,1.1.3.1,Public Domain,,,,java
xml-resolver,1.2,Apache 2.0,,,,java
xpp3_min,1.1.4c,CC0 1.0+Public Domain,,,,java
xstream,1.4.2,BSD 2-clause,,,,java
xwork-core,2.3.32,Apache 2.0,,,,java


bootstrap,2.1.1,Apache 2.0,,,,javascript
bwizard,,GPL 3.0,,,,javascript
datatable,1.9.4,GPL 2.0+BSD 3-clause,,,,javascript
jquery,1.8.1,MIT,,,,javascript
prettify,,Apache 2.0,,,,javascript
